title,URL Link,Description,Objectives,Lecture Duration (hh:mm:ss),CME Credits,Teacher Name
Diet and Type II Diabetes Mellitus - (Managing Type II Diabetes Mellitus Series -Part 1. Webinar),https://members.drbeen.com/view/diet-and-type-ii-diabetes-mellitus-managing-type-ii-diabetes-mellitus-series-part-1-webinar/SkuVeofA_nlW,"Dr. Syed presents the first session on the management of type 2 diabetes mellitus. Following topics are covered:\r\n\r\n*Sources of glucose and contribution from carbs, fats, and proteins.\r\n\r\n*Is it useful to go to protein high or fat high diets? Or is it useful to cut carbs?\r\n\r\n*What is the effect of combining carbs with proteins and carbs with fats to the glucose peak that occurs after a meal? Does it matter from a therapeutic point of view?\r\n\r\n*What is the final common pathway of energy production from the three macro classes of the food - namely, proteins, fats, and carbs.","Dr. Syed presents the first session on the management of type 2 diabetes mellitus. Following topics are covered:\r\n\r\n*Sources of glucose and contribution from carbs, fats, and proteins.\r\n\r\n*Is it useful to go to protein high or fat high diets? Or is it useful to cut carbs?\r\n\r\n*What is the effect of combining carbs with proteins and carbs with fats to the glucose peak that occurs after a meal? Does it matter from a therapeutic point of view?\r\n\r\n*What is the final common pathway of energy production from the three macro classes of the food - namely, proteins, fats, and carbs.",00:30:27,1,"Mobeen Syed, MD"
(Webinar) Dyslipidemias (Part 2),https://members.drbeen.com/view/webinar-dyslipidemias-part-2/H13Ngsf0dhg-,Dr. Syed presents the second bedtime story.\r\nTopics covered are:\r\nLipid particles.\r\nThe structure of various lipid particles.\r\nHow statins and other cholesterol-lowering drugs work.\r\nMicelle vs. Lipid Particle.\r\nShould a patient fast for lipid profile?,Dr. Syed presents the second bedtime story.\r\nTopics covered are:\r\nLipid particles.\r\nThe structure of various lipid particles.\r\nHow statins and other cholesterol-lowering drugs work.\r\nMicelle vs. Lipid Particle.\r\nShould a patient fast for lipid profile?,00:38:35,1,"Mobeen Syed, MD"
"Stroke vs. Bell's Palsy: Key Distinguishing Factors",https://members.drbeen.com/view/stroke-vs-bells-palsy-key-distinguishing-factors/Hyt8eiM0_2gb,Presenter: Dr. Syed,Presenter: Dr. Syed,00:13:15,0.5,"Mobeen Syed, MD"
"Alzheimer's Disease Review",https://members.drbeen.com/view/alzheimers-disease-review/HJTLgsMCO3xb,"Review\r\n\r\nThis video presents one of the neurodegenerative diseases - Alzheimer's.","Review\r\n\r\nThis video presents one of the neurodegenerative diseases - Alzheimer's.",00:12:41,0.5,"Mobeen Syed, MD"
Respiratory System Webinar,https://members.drbeen.com/view/respiratory-system-webinar/H1mveiM0uhlb,,,01:24:01,1.75,"Mobeen Syed, MD"
Chest X-Ray,https://members.drbeen.com/view/chest-x-ray/HyVDgofRuneZ,Dr. Syed presents the fundamentals of the chest x-ray to MSAI students.,Dr. Syed presents the fundamentals of the chest x-ray to MSAI students.,01:32:33,2,"Mobeen Syed, MD"
Respiratory System Gas Exchange,https://members.drbeen.com/view/respiratory-system-gas-exchange/HJBveoGAu3xW,Respiratory interface\r\nAlveolar Pressure\r\nAlveolar Gas Equation\r\nPerfusion\r\nDiffusion\r\nA-a gradient\r\nGas transport,Respiratory interface\r\nAlveolar Pressure\r\nAlveolar Gas Equation\r\nPerfusion\r\nDiffusion\r\nA-a gradient\r\nGas transport,03:28:29,3.75,"Mobeen Syed, MD"
Chest X-Ray Mnemonics,https://members.drbeen.com/view/chest-x-ray-mnemonics/ryUDgofCO3e-,"Chest X-Ray Interpretation\r\nBy Mir Alikhan, M.D., Pulmonologist","Chest X-Ray Interpretation\r\nBy Mir Alikhan, M.D., Pulmonologist",00:00:32,0.5,"Mir Alikhan, MD"
A Clinical Approach to Hypoxemia/Blood Gases,https://members.drbeen.com/view/a-clinical-approach-to-hypoxemiablood-gases/ryOPlsfAd2eZ,Dr. Ahmed Zaafran presents\r\nClinical Hypoxemia and its causes\r\nDifferential diagnosis\r\nManagement approach,Dr. Ahmed Zaafran presents\r\nClinical Hypoxemia and its causes\r\nDifferential diagnosis\r\nManagement approach,00:17:54,0.75,"Ahmed Zaafran, MD"
Ischemic Heart Disease: Clinical Presentation,https://members.drbeen.com/view/ischemic-heart-disease-clinical-presentation/rk2vlifAu2eb,Presenter: Ahmed Zaafran M.D.\r\n\r\nIn this video we discuss following topics about myocardial ischemia:\r\n\r\nCoronary blood supply vs. cardiac demand for the blood.\r\n\r\nPathophysiology and types of myocardial ischemia are discussed.\r\n\r\nRisk factors.\r\n\r\nClinical Symptoms.\r\n\r\nStable vs unstable angine.,Presenter: Ahmed Zaafran M.D.\r\n\r\nIn this video we discuss following topics about myocardial ischemia:\r\n\r\nCoronary blood supply vs. cardiac demand for the blood.\r\n\r\nPathophysiology and types of myocardial ischemia are discussed.\r\n\r\nRisk factors.\r\n\r\nClinical Symptoms.\r\n\r\nStable vs unstable angine.,00:23:26,0.75,"Ahmed Zaafran, MD"
Dev Video trimmed,https://members.drbeen.com/view/dev-video-trimmed/SkedeszC_heZ,Example video for development work. Contact nabeards before changing please!,Example video for development work. Contact nabeards before changing please!,00:06:27,0.5,"Mobeen Syed, MD"
Dev Video,https://members.drbeen.com/view/dev-video/Bk-_eofAO3lZ,Example video for development work. Contact nabeards before changing please!,Example video for development work. Contact nabeards before changing please!,00:06:34,0.5,"Mobeen Syed, MD"
Multiple Sclerosis (In Spanish),https://members.drbeen.com/view/multiple-sclerosis-in-spanish/HJIdxifAuneZ,Dr. Villoslada presents multiple sclerosis (MS). Following topics are covered.\r\nClinical picture\r\nEpidemiology\r\nPathophysiology\r\nPathogenesis\r\nDiagnosis\r\nTreatment,Dr. Villoslada presents multiple sclerosis (MS). Following topics are covered.\r\nClinical picture\r\nEpidemiology\r\nPathophysiology\r\nPathogenesis\r\nDiagnosis\r\nTreatment,00:38:06,1,
Obstructive Lung Disease and COPD,https://members.drbeen.com/view/obstructive-lung-disease-and-copd/r1tdlsMROngW,Dr. Alikhan presents obstructive lung diseases.\r\nDefining obstruction.\r\nObstructive pattern.\r\nPFT findings.\r\nClassification\r\nUncontrolled vs exacerbation.\r\nDiagnostics\r\nTreatment\r\nClinical features.\r\nCauses of COPD\r\nCOPD staging\r\nCOPD Treatment\r\nAcute exacerbation of COPD,Dr. Alikhan presents obstructive lung diseases.\r\nDefining obstruction.\r\nObstructive pattern.\r\nPFT findings.\r\nClassification\r\nUncontrolled vs exacerbation.\r\nDiagnostics\r\nTreatment\r\nClinical features.\r\nCauses of COPD\r\nCOPD staging\r\nCOPD Treatment\r\nAcute exacerbation of COPD,00:38:52,1,"Mir Alikhan, MD"
MSAI Session: Chest X-Ray Podcast,https://members.drbeen.com/view/msai-session-chest-x-ray-podcast/HksdlofRd2lb,Dr. Syed presents fundamentals of the chest x-ray for MSAI students.,Dr. Syed presents fundamentals of the chest x-ray for MSAI students.,01:32:00,2,"Mobeen Syed, MD"
Primary Care: Prescription Writing,https://members.drbeen.com/view/primary-care-prescription-writing/r1COesMR_nxZ,Presented for the NP and PA students.,Presented for the NP and PA students.,01:02:56,1.5,"Mobeen Syed, MD"
Mindfulness Session 1,https://members.drbeen.com/view/mindfulness-session-1/S1kKgjzAOnxZ,Micah Anderson presents the importance of mindfulness.\r\nAn exercise to practice daily.,Micah Anderson presents the importance of mindfulness.\r\nAn exercise to practice daily.,01:22:05,1.75,"Micah Anderson, MA, MFTI"
Left Heart Failure: Compliance Changes,https://members.drbeen.com/view/left-heart-failure-compliance-changes/BJgtxjfRdnl-,This video expands on reduction of compliance during left heart failure. A more in depth look at concentric and eccentric hypertrophy as a response to the stress induced.,This video expands on reduction of compliance during left heart failure. A more in depth look at concentric and eccentric hypertrophy as a response to the stress induced.,00:08:23,0.5,"Mobeen Syed, MD"
Left Heart Failure: Contractility Changes,https://members.drbeen.com/view/left-heart-failure-contractility-changes/r1ZtxoMA_hgb,"In this video, we look at Left Heart failure and how reduced contractility (The ability of the myocardium to function as a pump and eject blood) plays a role in its Pathogenesis.","In this video, we look at Left Heart failure and how reduced contractility (The ability of the myocardium to function as a pump and eject blood) plays a role in its Pathogenesis.",00:08:34,0.5,"Mobeen Syed, MD"
Left Heart Failure: Pathogenesis,https://members.drbeen.com/view/left-heart-failure-pathogenesis/S1MYljz0unl-,In this video we explore the pathogenesis of left ventricular heart failure: reduced compliance reduced contractility.,In this video we explore the pathogenesis of left ventricular heart failure: reduced compliance reduced contractility.,00:05:43,0.5,"Mobeen Syed, MD"
Systolic vs. Diastolic Dysfunction,https://members.drbeen.com/view/systolic-vs-diastolic-dysfunction/BkmFloMCO2eb,This video looks how we can identify systolic an diastolic left heart failure through mathematical representation.,This video looks how we can identify systolic an diastolic left heart failure through mathematical representation.,00:10:24,0.5,"Mobeen Syed, MD"
Introduction of Left vs. Right Heart Failure,https://members.drbeen.com/view/introduction-of-left-vs-right-heart-failure/rJ4KxozC_2e-,This video presents following topics about the left heart failure: Statistics of this leading cause of death. Definition of backward vs forward and systolic vs diastolic failures,This video presents following topics about the left heart failure: Statistics of this leading cause of death. Definition of backward vs forward and systolic vs diastolic failures,00:04:59,0.5,"Mobeen Syed, MD"
Compensatory Mechanisms of right heart failure,https://members.drbeen.com/view/compensatory-mechanisms-of-right-heart-failure/SJSYeofC_3gb,This video presents following topics about the right heart failure: Definition Causes Morphology Clinical points Compensatory mechanisms,This video presents following topics about the right heart failure: Definition Causes Morphology Clinical points Compensatory mechanisms,00:05:03,0.5,"Mobeen Syed, MD"
What happens clinically during right heart failure?,https://members.drbeen.com/view/what-happens-clinically-during-right-heart-failure/rJUFgifCd3gZ,This video presents following topics about the right heart failure: Definition Causes Morphology Clinical points Compensatory mechanisms,This video presents following topics about the right heart failure: Definition Causes Morphology Clinical points Compensatory mechanisms,00:06:30,0.5,"Mobeen Syed, MD"
Pathogenesis of Right heart failure: Mechanisms of exacerbation,https://members.drbeen.com/view/pathogenesis-of-right-heart-failure-mechanisms-of-exacerbation/HkDtlsMR_hgb,This video presents following topics about the right heart failure: Definition Causes Morphology Clinical points Compensatory mechanisms,This video presents following topics about the right heart failure: Definition Causes Morphology Clinical points Compensatory mechanisms,00:06:49,0.5,"Mobeen Syed, MD"
Right Heart Failure: is it backward or forward failure?,https://members.drbeen.com/view/right-heart-failure-is-it-backward-or-forward-failure/Sk_FxoGRu3g-,This video is part of the right heart failure lecture that presents the Definition Causes Morphology Clinical points Compensatory mechanisms,This video is part of the right heart failure lecture that presents the Definition Causes Morphology Clinical points Compensatory mechanisms,00:01:46,0.5,"Mobeen Syed, MD"
Right Heart Failure (part 1),https://members.drbeen.com/view/right-heart-failure-part-1/B1YFesM0uhlW,This video presents following topics about the right heart failure: Definition Causes Morphology Clinical points Compensatory mechanisms,This video presents following topics about the right heart failure: Definition Causes Morphology Clinical points Compensatory mechanisms,00:05:55,0.5,"Mobeen Syed, MD"
Atherosclerosis:Cellular Events (Part 3),https://members.drbeen.com/view/atherosclerosiscellular-events-part-3/S1cKljzAO2l-,"Mechaisms of the atherosclerotic plaque development.\r\n\r\nInitiation, progression, and complications of the atherosclerosis.","Mechaisms of the atherosclerotic plaque development.\r\n\r\nInitiation, progression, and complications of the atherosclerosis.",00:05:17,0.5,"Mobeen Syed, MD"
Atherosclerosis:Cellular Events (Part 2),https://members.drbeen.com/view/atherosclerosiscellular-events-part-2/SJiKljzRuheb,Continuing the discussion of cellular events involved in atherosclerosis.,Continuing the discussion of cellular events involved in atherosclerosis.,00:10:00,0.5,"Mobeen Syed, MD"
Atherosclerosis:Cellular Events (Part 1),https://members.drbeen.com/view/atherosclerosiscellular-events-part-1/HJ2YgofAO3eZ,Dr. Syed continues the discussion of the atherosclerosis pathogenesis.,Dr. Syed continues the discussion of the atherosclerosis pathogenesis.,00:08:20,0.5,"Mobeen Syed, MD"
Pathophysiology of the Heart Failure (Part 1),https://members.drbeen.com/view/pathophysiology-of-the-heart-failure-part-1/By6YgjzAdnxW,This video presents following topics about the left heart failure: Statastics of this leading cause of death. Definition Why is it called congestive heart failure? Pathogenesis: reduced compliance reduced contractility. Findings Clinical signs and symptoms,This video presents following topics about the left heart failure: Statastics of this leading cause of death. Definition Why is it called congestive heart failure? Pathogenesis: reduced compliance reduced contractility. Findings Clinical signs and symptoms,00:10:01,0.5,"Mobeen Syed, MD"
Introduction to Cardiovascular Pathology,https://members.drbeen.com/view/introduction-to-cardiovascular-pathology/HkJqgiM0_hx-,,,00:01:47,0.5,"Mobeen Syed, MD"
Cardiovascular Physiology: Introduction,https://members.drbeen.com/view/cardiovascular-physiology-introduction/S1x5lifA_3gZ,,,00:02:01,0.5,"Mobeen Syed, MD"
Cardiovascular Embryology: Introduction,https://members.drbeen.com/view/cardiovascular-embryology-introduction/Hy-cgjfAuhlW,,,00:00:56,0.5,"Mobeen Syed, MD"
Intro to CVS,https://members.drbeen.com/view/intro-to-cvs/ByMqesG0O2gW,,,00:02:57,0.5,"Mobeen Syed, MD"
(Duplicate) Pharyngeal Arch Arteries,https://members.drbeen.com/view/duplicate-pharyngeal-arch-arteries/rkm5gizCu3gZ,Embryology and fate of the pharyngeal arch artries.,Embryology and fate of the pharyngeal arch artries.,00:18:12,0.75,"Mobeen Syed, MD"
Bacterial Nomenclature,https://members.drbeen.com/view/bacterial-nomenclature/HyVclsf0dhgZ,This lecture presents the nomenclature based on bacterial shape size and arrangement.,This lecture presents the nomenclature based on bacterial shape size and arrangement.,00:06:34,0.5,"Mobeen Syed, MD"
Video mnemonic for alpha hemolytic streptococci,https://members.drbeen.com/view/video-mnemonic-for-alpha-hemolytic-streptococci/HJBclsfAOhlW,This video is first in the series of videos presenting bacterial lab algorithm. Recalling the pathogens will become a breeze! Video presents characteristics of alpha hemolytic streptococci. Their bile and optochin solubility main metabolic properties tissues infected and pathologies caused. Video covers S. Viridans and S. Pneumoniae (Pneumococci),This video is first in the series of videos presenting bacterial lab algorithm. Recalling the pathogens will become a breeze! Video presents characteristics of alpha hemolytic streptococci. Their bile and optochin solubility main metabolic properties tissues infected and pathologies caused. Video covers S. Viridans and S. Pneumoniae (Pneumococci),00:08:21,0.5,"Mobeen Syed, MD"
Pneumococcus,https://members.drbeen.com/view/pneumococcus/SkL9giGCdhx-,This lecture presents visual memory aid for Pneumococcus identification virulance factors diseases and treatment.,This lecture presents visual memory aid for Pneumococcus identification virulance factors diseases and treatment.,00:18:03,0.75,"Mobeen Syed, MD"
Podcast - Managing Type II Diabetes Mellitus (Fable 7),https://members.drbeen.com/view/podcast-managing-type-ii-diabetes-mellitus-fable-7/S1w5gsGR_heb,,,00:47:36,1.25,"Mobeen Syed, MD"
Podcast - Managing Type II Diabetes Mellitus (Fable 6),https://members.drbeen.com/view/podcast-managing-type-ii-diabetes-mellitus-fable-6/SJdcgoG0_2xb,,,00:44:11,1,"Mobeen Syed, MD"
Podcast for Sepsis and Septic Shock,https://members.drbeen.com/view/podcast-for-sepsis-and-septic-shock/SyF5xiMAd2lZ,"Dr. Luis A. Verduzco\n\nIntensivist, Anaesthesiologist\n\nDr. Verduzco presents the diagnosis, labs, pathophysiology, and management of sepsis and septic shock.","Dr. Luis A. Verduzco\n\nIntensivist, Anaesthesiologist\n\nDr. Verduzco presents the diagnosis, labs, pathophysiology, and management of sepsis and septic shock.",01:43:00,2,"Mobeen Syed, MD"
Clinical Jaundice (Part 1),https://members.drbeen.com/view/clinical-jaundice-part-1/ryaqxifRu3gb,,,00:32:55,1,"Mobeen Syed, MD"
Clinical Jaundice (Part 2),https://members.drbeen.com/view/clinical-jaundice-part-2/SkAqgjfAuhl-,,,00:40:48,1,"Mobeen Syed, MD"
Clinical Jaundice (Part 3),https://members.drbeen.com/view/clinical-jaundice-part-3/BkksxizC_hgb,,,00:19:26,0.75,"Mobeen Syed, MD"
Clinical Jaundice (Part 4),https://members.drbeen.com/view/clinical-jaundice-part-4/HyejxizAd2lZ,Dr. Syed discusses the liver function tests.\r\n{article:https://articles.drbeen.com/2016/05/25/hepatitis-b-and-its-labs/},Dr. Syed discusses the liver function tests.\r\n{article:https://articles.drbeen.com/2016/05/25/hepatitis-b-and-its-labs/},00:21:52,0.75,"Mobeen Syed, MD"
(Webinar) Managing Type II Diabetes Mellitus (part 2) - podcast,https://members.drbeen.com/view/webinar-managing-type-ii-diabetes-mellitus-part-2-podcast/H1bixoGCdneb,Dr. Syed discusses:\r\n1. How do fats contribute to the insulin insensitivity?\r\n2. Why does eating carb cause hunger again?,Dr. Syed discusses:\r\n1. How do fats contribute to the insulin insensitivity?\r\n2. Why does eating carb cause hunger again?,00:35:32,1,"Mobeen Syed, MD"
ProHealth Session 1,https://members.drbeen.com/view/prohealth-session-1/B1mjesMRu2eb,Dr. Syed presents management of the CHF\r\nRebecca Rogers DNP presents reduction in hospitalization.,Dr. Syed presents management of the CHF\r\nRebecca Rogers DNP presents reduction in hospitalization.,01:58:26,2.25,"Mobeen Syed, MD"
Chamberlain School of Nursing Week 2 (part 2),https://members.drbeen.com/view/chamberlain-school-of-nursing-week-2-part-2/B1PjlsfCO2eW,We discussed the following topics from the week 2 pathophysiology:\nV/Q ratios\nDeadspace\nShunt\nFEV1\nObstructive and restrictive diseases\nMechanisms of the obstructive and restrictive diseases.\nHow to identify obstructive and restrictive diseases from FEV1 and V/Q.,We discussed the following topics from the week 2 pathophysiology:\nV/Q ratios\nDeadspace\nShunt\nFEV1\nObstructive and restrictive diseases\nMechanisms of the obstructive and restrictive diseases.\nHow to identify obstructive and restrictive diseases from FEV1 and V/Q.,01:48:17,2.25,"Mobeen Syed, MD"
Chamberlain School of Nursing Week 2 (part 1),https://members.drbeen.com/view/chamberlain-school-of-nursing-week-2-part-1/rydjeoMCu2xb,"Capillary pressures and the factors governing these.\n\nHydrostatic Pressure\n\nOncotic Pressure\n\nAcid-Base Balance\n\nNormal values for the pH, PaCO2, HCO3-\n\nCases for acid-base\nOxygen dissociation curve","Capillary pressures and the factors governing these.\n\nHydrostatic Pressure\n\nOncotic Pressure\n\nAcid-Base Balance\n\nNormal values for the pH, PaCO2, HCO3-\n\nCases for acid-base\nOxygen dissociation curve",02:44:34,3,"Mobeen Syed, MD"
Chamberlain School of Nursing (Week 1),https://members.drbeen.com/view/chamberlain-school-of-nursing-week-1/BytogiMC_hx-,Dr. Syed presents a live session with the SCN students.,Dr. Syed presents a live session with the SCN students.,01:59:12,2.25,"Mobeen Syed, MD"
Acute Pancreatitis,https://members.drbeen.com/view/acute-pancreatitis/S1y2lizCu2xb,Acute Abdomen Series by Hatem Abu Sayed MD\r\nFollowing topics from the Acute Pancreatitis are discussed:\r\nClinical history\r\nPresentation\r\nTypical findings\r\nLab findings\r\nManagement,Acute Abdomen Series by Hatem Abu Sayed MD\r\nFollowing topics from the Acute Pancreatitis are discussed:\r\nClinical history\r\nPresentation\r\nTypical findings\r\nLab findings\r\nManagement,00:20:53,0.75,"Hatem Abou-Sayed, MD"
Mickey Tubing (part 1),https://members.drbeen.com/view/mickey-tubing-part-1/ryfnxsGC_heZ,,,00:09:05,0.5,"Donna Pratt, RN, MSN"
Mickey Tubing (part 2),https://members.drbeen.com/view/mickey-tubing-part-2/Bk7hxsM0Onx-,,,00:02:29,0.5,"Donna Pratt, RN, MSN"
Mickey Tubing (part 3),https://members.drbeen.com/view/mickey-tubing-part-3/rkE2ejMA_3lW,,,00:02:13,0.5,"Donna Pratt, RN, MSN"
Surgical Considerations prior to insertion,https://members.drbeen.com/view/surgical-considerations-prior-to-insertion/rkShgoMRuhxW,"This video discusses thoughts for consideration before your patient or family member has a Mickey Button Inserted. What medications that should be held, incisional site considerations,  site care if the incision is too large, and the importance of inflating the balloon prior to the cut to make sure it is not defective prior to surgery.","This video discusses thoughts for consideration before your patient or family member has a Mickey Button Inserted. What medications that should be held, incisional site considerations,  site care if the incision is too large, and the importance of inflating the balloon prior to the cut to make sure it is not defective prior to surgery.",00:01:45,0.5,"Donna Pratt, RN, MSN"
Mickey Button Tutorial Series: Checking for Residual Tube Feeds,https://members.drbeen.com/view/mickey-button-tutorial-series-checking-for-residual-tube-feeds/SkUnlofROhx-,This video demonstrates how to check residual in a feeding tube patient. Discusses what to do if the residual is too high to feed a patient. When to hold feedings and recheck to see if you can resume tube feedings.,This video demonstrates how to check residual in a feeding tube patient. Discusses what to do if the residual is too high to feed a patient. When to hold feedings and recheck to see if you can resume tube feedings.,00:02:03,0.5,"Donna Pratt, RN, MSN"
"Care and Cleaning of syringes, extensions, and feeding cups",https://members.drbeen.com/view/care-and-cleaning-of-syringes-extensions-and-feeding-cups/SJwngozCu2lZ,"The video demonstrates how to properly clean and care for bolus feed syringes, extension set,  and feeding cups. Part of the Mickey Button tube series.","The video demonstrates how to properly clean and care for bolus feed syringes, extension set,  and feeding cups. Part of the Mickey Button tube series.",00:02:19,0.5,"Donna Pratt, RN, MSN"
Reflux Valve Care,https://members.drbeen.com/view/reflux-valve-care/Hk_heoM0One-,This video demonstrates how to perform reflux valve care. The low profile Mickey Button feeding tube patient or family needs this care done daily.,This video demonstrates how to perform reflux valve care. The low profile Mickey Button feeding tube patient or family needs this care done daily.,00:00:50,0.5,"Donna Pratt, RN, MSN"
Feeding tube,https://members.drbeen.com/view/feeding-tube/Hkt2goMAOhl-,This video series includes:\r\n\r\nWhat is a Feeding Tube\r\n\r\nReason for a Feeding Tube\r\n\r\nHow to Perform G-tube Site Care\r\n\r\nHow to give meds through a Mic-key button\r\n\r\nHow to Administer a Bolus Feeding\r\n\r\n6) Changing a Mickey Button\r\n\r\n7) Precautions for G-tube Patients\r\n\r\n8) A Short Quiz\r\n\r\n9) CME Hours,This video series includes:\r\n\r\nWhat is a Feeding Tube\r\n\r\nReason for a Feeding Tube\r\n\r\nHow to Perform G-tube Site Care\r\n\r\nHow to give meds through a Mic-key button\r\n\r\nHow to Administer a Bolus Feeding\r\n\r\n6) Changing a Mickey Button\r\n\r\n7) Precautions for G-tube Patients\r\n\r\n8) A Short Quiz\r\n\r\n9) CME Hours,00:27:50,0.75,"Donna Pratt, RN, MSN"
How to bolus a feeding tube,https://members.drbeen.com/view/how-to-bolus-a-feeding-tube/Syqhxiz0_2g-,"This video demonstrates how to perform a tube feeding using the bolus method, administer free water, and feed a patient or family member through a Mickey Button extension.","This video demonstrates how to perform a tube feeding using the bolus method, administer free water, and feed a patient or family member through a Mickey Button extension.",00:08:55,0.5,"Donna Pratt, RN, MSN"
Mickey Button Tutorial Series: How to perform dressing changes and site care,https://members.drbeen.com/view/mickey-button-tutorial-series-how-to-perform-dressing-changes-and-site-care/S1sngofAu2g-,This video demonstrates how to perform Mickey Button Site Dressing Care.,This video demonstrates how to perform Mickey Button Site Dressing Care.,00:02:17,0.5,"Donna Pratt, RN, MSN"
How to change a feeding tube,https://members.drbeen.com/view/how-to-change-a-feeding-tube/B12nlof0d2lW,This video demonstrates how to remove the old Mickey button feeding tube. I will demonstrate how insert in a new Mickey button  low profile feeding tube.,This video demonstrates how to remove the old Mickey button feeding tube. I will demonstrate how insert in a new Mickey button  low profile feeding tube.,00:05:19,0.5,"Donna Pratt, RN, MSN"
How to administer a low-profile feeding tube,https://members.drbeen.com/view/how-to-administer-a-low-profile-feeding-tube/BJp3ejGR_3lZ,This video demonstrates how to give medications through a mickey button. This is a live hands on demonstration with an actual mickey button.,This video demonstrates how to give medications through a mickey button. This is a live hands on demonstration with an actual mickey button.,00:02:17,0.5,"Donna Pratt, RN, MSN"
This is a video,https://members.drbeen.com/view/this-is-a-video/SkC3xszCu3e-,,,00:00:07,0.5,"Mobeen Syed, MD"
Pharmacokinetics: Chamberlain School Review (part 1),https://members.drbeen.com/view/pharmacokinetics-chamberlain-school-review-part-1/SJ1TljGC_hxZ,Dr. Syed presents pharmacokinetics for Chamberlain School students.\r\n,Dr. Syed presents pharmacokinetics for Chamberlain School students.\r\n,01:18:12,1.75,"Mobeen Syed, MD"
Pharmacokinetics: Chamberlain School Review (part 2),https://members.drbeen.com/view/pharmacokinetics-chamberlain-school-review-part-2/BJl6gjM0O2xW,Dr. Syed presents: \r\nThe volume of distribution.\r\nElimination half-life.\r\nSteady state.\r\n,Dr. Syed presents: \r\nThe volume of distribution.\r\nElimination half-life.\r\nSteady state.\r\n,00:51:45,1.25,"Mobeen Syed, MD"
Ectopic Pregnancy,https://members.drbeen.com/view/ectopic-pregnancy/Byb6lsGAd3lZ,Dr. Sayed continues his lecture series on evaluation and management of common conditions presenting with an acute abdomen.,Dr. Sayed continues his lecture series on evaluation and management of common conditions presenting with an acute abdomen.,00:15:46,0.75,"Hatem Abou-Sayed, MD"
Sigmoid Volvulus,https://members.drbeen.com/view/sigmoid-volvulus/H1f6esMCune-,Dr. Sayed continues his lecture series on evaluation and management of common conditions presenting with an acute abdomen.,Dr. Sayed continues his lecture series on evaluation and management of common conditions presenting with an acute abdomen.,00:19:20,0.75,"Hatem Abou-Sayed, MD"
Clinical Application of Cardiac Drugs/Cardiac Pharmacology,https://members.drbeen.com/view/clinical-application-of-cardiac-drugscardiac-pharmacology/SkEagjGRd2xb,This is an overview of the most common medications used to affect the sympathetic nervous system and their clinical applications.,This is an overview of the most common medications used to affect the sympathetic nervous system and their clinical applications.,00:27:29,0.75,"Ahmed Zaafran, MD"
TEST: Free For Anyone,https://members.drbeen.com/view/test-free-for-anyone/rJd6lsfCd3gb,,,00:01:39,0.5,
TEST: Free If Registered,https://members.drbeen.com/view/test-free-if-registered/B1Y6lizAO2eb,,,00:01:39,0.5,
TEST: Purchase Only,https://members.drbeen.com/view/test-purchase-only/B1cTloz0OhlW,,,00:01:39,0.5,
TEST: Subscription Only,https://members.drbeen.com/view/test-subscription-only/H1jTliMRuhlZ,,,00:01:39,0.5,
Surgical Interventions:  Clinical Diagnosis and Management of Post-Operative Fever ,https://members.drbeen.com/view/surgical-interventions-clinical-diagnosis-and-management-of-post-operative-fever/SJ8hPEbZ-,An overview of the multiple causes and treatments of post operative fever,An overview of the multiple causes and treatments of post operative fever,01:08:01,1.5,"Ahmed Zaafran, MD"
"I'm a test video",https://members.drbeen.com/view/im-a-test-video/r184ph7Z-,,,00:02:14,0.5,
(duplicate) Type 1 Diabetes Mellitus,https://members.drbeen.com/view/duplicate-type-1-diabetes-mellitus/Sy2hAHjZZ,,,00:54:04,1.25,"Mobeen Syed, MD"
Clinical Applications of Anti-Dysrhythmia Drugs,https://members.drbeen.com/view/clinical-applications-of-anti-dysrhythmia-drugs/r1LyJDjb-,"This lecture takes a look at the most common medications utilized for arrythmia. The basic pharmacology and pathophysiology is addressed here, along with the most pertinant clinical applications.","This lecture takes a look at the most common medications utilized for arrythmia. The basic pharmacology and pathophysiology is addressed here, along with the most pertinant clinical applications.",00:20:05,0.75,"Ahmed Zaafran, MD"
Paroxysmal Supraventricular Tachycardia (PSVT),https://members.drbeen.com/view/paroxysmal-supraventricular-tachycardia-psvt/H1VWSco-W,This video presents following topics:\r\nRe-entry\r\nTypes of Supraventricular Tachycardia.\r\nMnemonic to remember supraventricular tachycardia.\r\nCharacteristics of Supraventricular Tachycardia.\r\nAV Nodal Reentrant Tachycardia.\r\nEKG changes\r\nPseudo R waves,This video presents following topics:\r\nRe-entry\r\nTypes of Supraventricular Tachycardia.\r\nMnemonic to remember supraventricular tachycardia.\r\nCharacteristics of Supraventricular Tachycardia.\r\nAV Nodal Reentrant Tachycardia.\r\nEKG changes\r\nPseudo R waves,00:05:19,0.5,"Mobeen Syed, MD"
"Syphilis: An introduction to etiology, diagnosis, and clinical management",https://members.drbeen.com/view/syphilis-an-introduction-to-etiology-diagnosis-and-clinical-management/HkgjjSC4Gb,"This lecture describes the etiology of syphilis, the various stages, and clinical manifestations of the disease.","This lecture describes the etiology of syphilis, the various stages, and clinical manifestations of the disease.",00:44:09,1,"Ahmed Zaafran, MD"
